term,prior_v1_category,proposed_v2_category,candidate_source,review_frequency,construct_definition,ambiguity_flag,alternate_categories,concordance_1,concordance_2,concordance_3,decision,reviewer_rationale,reviewer_status
apple,fruit_aromatics,fruit,v1,3015,"Fresh, citrus, tropical, and orchard fruit descriptors.",False,,"lour: straw. nose: it seems that it's another 'fresh' aberlour, all on garden fruit (apple, pear, gooseberry, greengage…), with touch of melon as well and just a little wax an","nce and the 'fullness' here. it's classic 'natural' speyside in the background, with apple and barley, but there's an additional layer of fresh herb and almost_phenolic note.",colour: straw. nose: plain and pure apple juice with just a little barley. then more cornflakes and a slight flintiness. more,approve_primary,Approved for proposed primary construct.,approved
apricot,fruit_aromatics,fruit,v1,574,"Fresh, citrus, tropical, and orchard fruit descriptors.",False,,"en in youngish naked one such as this baby. with water: open up, with some peach and apricot. or is it nectarine? mouth (neat): fruit salad yet again, with an interesting spicin","at funny start, it all unfolds on jelly bean, apple juice and chicory, with touch of apricot and melon in the background as well as a little honeysuckle. with water: more liquor","sister cask #25427 wa excellent but a bit hard… colour: gold. nose: the note of apricot and melon are there as well but little smoke this time, rather some grass and ham, t",approve_primary,Approved for proposed primary construct.,approved
banana,fruit_aromatics,fruit,v1,1182,"Fresh, citrus, tropical, and orchard fruit descriptors.",False,,"quorice and… yeah, chestnut honey. with water: more fruit now, seville orange, dried banana… finish: long, with the pepper, ginger and caraway back in the aftertaste. comment:","a le zesty version, with rather more butter at first nosing as well as hint of dried banana - from the sherry? certainly le 'focused' than most other young caol ilas, but not u","recent one, although the background is similar. richer and fruitier, with fig, dried banana, orange liqueur, touch of demerara sugar or rather molasses, herb, parsley… another",approve_primary,Approved for proposed primary construct.,approved
cherry,fruit_aromatics,fruit,v1,690,"Fresh, citrus, tropical, and orchard fruit descriptors.",False,,"nutmeg, grass… get drier and drier in fact. with water: more fruit coming out, pear, cherry, strawberry… but it remains rather 'young'. did i mention apple? mouth (neat): litre","l fruity note, mango, passion_fruit, peach and then more red berry, raspberry, black cherry… the sherry and the very fruity spirit combined very well here! nice peppery feeling","hard_fruit as many other speysiders from refill wood. apple, pear, gooseberry, white cherry… and more paraffin/putty again after a few second, as well as some almond oil and st",approve_primary,Approved for proposed primary construct.,approved
citrus,fruit_aromatics,fruit,v1,1347,"Fresh, citrus, tropical, and orchard fruit descriptors.",False,,"ied citron, lime and ginger tonic. comment: an unusually sharp glenfiddich, saved by citrus. it may have been quite a gamble to bottle this 22 year ago - and you just cannot al","deed, hint of wax, putty and various oil in the background but little lemon or other citrus_fruit thus far. mouth (neat): it's a tidal wave of estery note, pear, pineapple, jel","e. finish: medium long and even more 'new littlemill' (relatively speaking). candied citrus_fruit. comment: i don't like the nose too much but i liked the palate quite a lot, w",approve_primary,Approved for proposed primary construct.,approved
citrus_fruit,fruit_aromatics,fruit,v1,230,"Fresh, citrus, tropical, and orchard fruit descriptors.",False,,"deed, hint of wax, putty and various oil in the background but little lemon or other citrus_fruit thus far. mouth (neat): it's a tidal wave of estery note, pear, pineapple, jelly bea","e. finish: medium long and even more 'new littlemill' (relatively speaking). candied citrus_fruit. comment: i don't like the nose too much but i liked the palate quite a lot, which m","ut it's still no 'rounded' malt. other than that, we've got just as much soot, rock, citrus_fruit, porridge and grass. with water: this time it's rather aromatic herb that come out.",approve_primary,Approved for proposed primary construct.,approved
grapefruit,fruit_aromatics,fruit,v1,1547,"Fresh, citrus, tropical, and orchard fruit descriptors.",False,,"w material when tasting a 17yo malt whisky. with water: even more so. maybe a little grapefruit. mouth (neat): plain barley_sugar and lemon squash, with something eau_de_vie_ish. s","outh: better, but not quite where it should be. le soap and much more salt, lime and grapefruit. ultra_zesty and lemony, in fact, we're in tequila territory. finish: long, on the s","than with the first version. touch of violet liqueur (parfait amour), then more pink grapefruit. a feeling of good sauvignon. the peat is moderate. finish: not very long but well b",approve_primary,Approved for proposed primary construct.,approved
honey,fruit_aromatics,fruit,v1,2485,"Fresh, citrus, tropical, and orchard fruit descriptors.",True,fruit;exclude_primary,"/gingery side at first sip, followed by apple jelly, pear drop and light 'breakfast' honey. acacia? the funny fizziness vanishes after one or two minute. also hazel and custar","zed chestnut? load of that, and then a little caraway, liquorice and… yeah, chestnut honey. with water: more fruit now, seville orange, dried banana… finish: long, with the pe","rfully 'beehivy' and 'tertiarily fruity' (that's more than enough, s.!) many jam and honey, chutney, orange and caramel sauce… finish: medium long, with more and more 'sweetis",approve_primary,Approved for proposed primary construct.,approved
jam,fruit_aromatics,fruit,v1,829,"Fresh, citrus, tropical, and orchard fruit descriptors.",True,fruit;exclude_primary,"and oily. great note of herb, mint, parsley, tarragon… and even touch of strawberry jam. comment: i'm wondering whether this wasn't rather sold in 1956 originally, rather t","he style of the mortlach. plenty of dark_chocolate, then rather clove and blackberry jam plus prune and heavy demerara rum. i like, as they say on facebook. with water: as o","ng wonderfully 'beehivy' and 'tertiarily fruity' (that's more than enough, s.!) many jam and honey, chutney, orange and caramel sauce… finish: medium long, with more and mor",exclude_ambiguous,cues of sherry,approved
lemon,fruit_aromatics,fruit,v1,3498,"Fresh, citrus, tropical, and orchard fruit descriptors.",False,,"chive? the whole is really very fresh. mouth: excessively fruity, starting with tart lemon and lime, then peach and melon again. a fairly simple but wonderfully chiselled prof","here. barley… mouth (neat): good, full, sweet speyside. malt, apple pie and touch of lemon and liquorice. it's all good but i wouldn't say there's much happening here. with wa","e close to some beer, with a little caramel, yeast, sweet bread, then more apple and lemon… i like this. with water: very good now. sweet barley, sweet spice, a little marzipa",approve_primary,Approved for proposed primary construct.,approved
