term,prior_v1_category,proposed_v2_category,candidate_source,review_frequency,construct_definition,ambiguity_flag,alternate_categories,concordance_1,concordance_2,concordance_3,decision,reviewer_rationale,reviewer_status
honey,fruit_aromatics,fruit,v1,2485,"Fresh, citrus, tropical, and orchard fruit descriptors.",True,fruit;exclude_primary,"/gingery side at first sip, followed by apple jelly, pear drop and light 'breakfast' honey. acacia? the funny fizziness vanishes after one or two minute. also hazel and custar","zed chestnut? load of that, and then a little caraway, liquorice and… yeah, chestnut honey. with water: more fruit now, seville orange, dried banana… finish: long, with the pe","rfully 'beehivy' and 'tertiarily fruity' (that's more than enough, s.!) many jam and honey, chutney, orange and caramel sauce… finish: medium long, with more and more 'sweetis",,,
jam,fruit_aromatics,fruit,v1,829,"Fresh, citrus, tropical, and orchard fruit descriptors.",True,fruit;exclude_primary,"and oily. great note of herb, mint, parsley, tarragon… and even touch of strawberry jam. comment: i'm wondering whether this wasn't rather sold in 1956 originally, rather t","he style of the mortlach. plenty of dark_chocolate, then rather clove and blackberry jam plus prune and heavy demerara rum. i like, as they say on facebook. with water: as o","ng wonderfully 'beehivy' and 'tertiarily fruity' (that's more than enough, s.!) many jam and honey, chutney, orange and caramel sauce… finish: medium long, with more and mor",,,
marmalade,fruit_aromatics,fruit,v1,1037,"Fresh, citrus, tropical, and orchard fruit descriptors.",True,fruit;exclude_primary,"a young ci can get, with more or le the same note as on the nose. cough syrup, lemon marmalade and smoked salmon. there is some brine as well but rather le than in other ci in my","ssy and cardboardy, not far from the 1989. mouth (neat): start with quite some lemon marmalade and something peppery, then there's more cinnamon, vanilla and cinchona. that feelin","… and it doe keep improving, with a more complex spiciness and some pleasant note of marmalade as well as, maybe, some apple chutney. finish: short but even cleaner. leather, oran",,,
antiseptic,peat_smoke_coastal,peat_smoke_coastal,v1,218,"Peat, smoke, ash, maritime, and coastal descriptors.",True,peat_smoke_coastal;flaws_off_notes,"of orange cake, putty, just touch of brine and kipper, idea of chardonnay… a little antiseptic as well. very curious about the palate… mouth: a strange one indeed. maybe a tad fla","smokiness is bigger, not tamed by age yet, and there's also quite some carbolineum, antiseptic and seawater. also diesel oil, motul motor oil (i've decided to be more precise with","n of fresh putty, brine, coal ash (old coal stove), oyster and lemon juice. a little antiseptic too. mouth: same, plus that saltine. very nice attack, sadly it get a little light t",,,
bandage,peat_smoke_coastal,peat_smoke_coastal,v1,330,"Peat, smoke, ash, maritime, and coastal descriptors.",True,peat_smoke_coastal;flaws_off_notes,"candle, green_tea, 'new toy' (new chinese plastic) - you have to like that but i do… bandage… also great note of fresh mint that balance the whole. mouth: hmm… ultra_extreme lem",". nose: classic laphroaig but rather rounder than usual offering. brine, seaweed and bandage plus touch of kumquat, orange and quince, then soot and plain peat_smoke. in fact, t","pretty uncomplicated. something medicinal as well, rather towards mercurochrome and bandage? ouch! with water: the obvious youth come out more, with added hint of pear and fres",,,
creosote,peat_smoke_coastal,peat_smoke_coastal,v1,69,"Peat, smoke, ash, maritime, and coastal descriptors.",True,peat_smoke_coastal;flaws_off_notes,"great nose so far. with water: wonderful mineral and phenolic development. a little creosote, barbour grease… mouth (neat): excellent attack, once again there's something of the","muddy dog (yeah, a variant of our beloved wet dog - i'm sorry, dog), damp newspaper, creosote, some seawater, walnut wine, more fresh paint (any colour)… mouth (neat): fantastic.","econd, it's a true aromatic blitzkrieg. yet, i seem to have found iodine, tangerine, creosote, mango, motor oil, kipper, parma ham, old tin box… oh well, and hundred of other aro",,,
diesel,peat_smoke_coastal,peat_smoke_coastal,v1,87,"Peat, smoke, ash, maritime, and coastal descriptors.",True,peat_smoke_coastal;flaws_off_notes,"new make but new make. slightly perfumy, with these violety note yet again, a little diesel oil, grass, graphite oil and then litre of apple juice and whiff of wood smoke (fir","all on paraffin, fresh butter, grass, soap, leaven, lager, rock… and quite a lot of diesel oil. curious about the palate… mouth: almost the same whisky as the 11yo by hart bro","iquorice in the background. then more fruit, blackcurrants, raisin and then whiff of diesel oil and walnut stain. very coherent and full. with water: after the first note of so",,,
engine_oil,peat_smoke_coastal,peat_smoke_coastal,v1,249,"Peat, smoke, ash, maritime, and coastal descriptors.",True,peat_smoke_coastal;flaws_off_notes,"ence and an obvious 'old highland' style this time, with damp sand, gravel, tin box, engine_oil and metal polish. then a mixture of chalk and cider apple (any small 'green' one wil","intage are another story on another planet. it's all much more 'tertiary', with some engine_oil, leather, old orange liqueur, metal polish, old coal stove, diesel oil… i guess you","alive, it's alive! a massive grassiness and plenty of waxy note, shoe polish, rock, engine_oil, metal and coal. in a sense, it's much closer to the new 10 than to both the centena",,,
medicinal,peat_smoke_coastal,peat_smoke_coastal,v1,916,"Peat, smoke, ash, maritime, and coastal descriptors.",True,peat_smoke_coastal;flaws_off_notes,"well, almond oil, marzipan… truly excellent. finish: rather long, complex, a little medicinal and always a little phenolic. mint and liquorice in the aftertaste as well as a litt","e it reminds me a bit of the official 'unpeated style' at first nosing. becomes more medicinal after a while, with quite a lot of eucalyptus, vicks style. with water: the peat com","dark gold. nose: a ci that rather look towards laphroaig at first nosing, with more medicinal and dry coastal note than expected, including mint, camphor and eucalyptus, vicks_st",,,
phenolic,peat_smoke_coastal,peat_smoke_coastal,v1,165,"Peat, smoke, ash, maritime, and coastal descriptors.",True,peat_smoke_coastal;flaws_off_notes,"und, with apple and barley, but there's an additional layer of fresh herb and almost_phenolic note. a little soot, touch of camphor, linseed oil… also wet gravel, clay… classy sp","hat this one is no exception. directly complex, resinous, fruity, honeyed and pretty phenolic, with these note of tropical_fruit that were often to be found in these bottlings. n","colour: gold. nose: this one ha lost the phenolic side, but it probably got more elegant, refined, better 'chiselled' i'd say. the chl",,,
tcp,peat_smoke_coastal,peat_smoke_coastal,v1,80,"Peat, smoke, ash, maritime, and coastal descriptors.",True,peat_smoke_coastal;flaws_off_notes,"ticularly aromatic farmland. just beautifully medicinal, more tincture of iodine and tcp with citrus and tropical_fruit. graphite, ink, fresh earth, wax and soot. a total sh","t there is some really nourishing spiciness, black peppercorn, black olive in brine, tcp, some lovely fresh mint after a while as well. another really good one! with water:","nfire smoke and various kippery note. further wispy and simmering note of iodine and tcp. mouth: a big, lumbering wave of drunken peat (you remember drunken peat right serge",,,
almond,sherry_rancio_oxidative,sherry_influence,v1,1065,Direct sherry-cask references and reviewed berry or dried-fruit sensory markers of sherry influence.,True,sherry_influence;exclude_primary,"lish, plus perfect note of melon and maybe pomegranate. a little pine resin as well, almond oil, marzipan… truly excellent. finish: rather long, complex, a little medicinal and","g and the wax a little louder. very clean aftertaste on bitter orange, lemon, bitter almond and a smokiness… comment: perfect, just perfect and an ideal introduction to the hig","i like the profile. it's ultra_zesty, with superb note of kipper and quite a lot of almond oil and then a little turpentine. even in a slow cask, age doe matter i guess. mouth",,,
antique,sherry_rancio_oxidative,sherry_influence,v1,68,Direct sherry-cask references and reviewed berry or dried-fruit sensory markers of sherry influence.,True,rancio_aged_oxidative;exclude_primary,"ogany. nose: we're entering a nice old shop that would sell a strange combination of antique furniture, spice from all over the world, old_book, both dried and fresh fruit and a","i don't think i've ever tried a glendronach from the 50s before… colour: gold. nose: antique, definitely. a lot of wax polish, mead and nectar at first nosing but all that tends","nd orange marmalade, then just whiff of toast crumb and mint. work well, in a fairly antique style (think old gentlemen's club and, maybe, cigar…) hint of port. mouth: start all",,,
balsamic,sherry_rancio_oxidative,sherry_influence,v1,185,Direct sherry-cask references and reviewed berry or dried-fruit sensory markers of sherry influence.,True,rancio_aged_oxidative;exclude_primary,"f of old_style motor oil and then an endless development on leather polish, very old balsamic vinegar, roasted sesame oil (it's very obvious here) and god know what else. utterly","'re closer to the richer tokyoite. in fact, it's probably gamier, meatier, with more balsamic vinegar, soy sauce and beef bouillon. unexpected as i had though px would impart ins","ing. can one peat sultana? a lot of old rancio, soot, leather, beeswax, old liqueur, balsamic vinegar and plain oloroso sherry. quite some soy sauce as well, wok sauce, other ext",,,
berry,,sherry_influence,user_proposed,251,Direct sherry-cask references and reviewed berry or dried-fruit sensory markers of sherry influence.,True,fruit;sherry_influence;exclude_primary,"d go on with more typical fruity note, mango, passion_fruit, peach and then more red berry, raspberry, black cherry… the sherry and the very fruity spirit combined very well h","gnac and prune, then a little more mint and liquorice. also funny hint of dried goji berry, and maybe also dried longan (it's all close to raisin but it's not exactly raisin -","re there as well but little smoke this time, rather some grass and ham, then juniper berry and a little kirsch. it's quite powerful and pretty unusual, especially because of t",,,
blackberry,fruit_aromatics,sherry_influence,v1,71,Direct sherry-cask references and reviewed berry or dried-fruit sensory markers of sherry influence.,True,fruit;sherry_influence;exclude_primary,"far from the style of the mortlach. plenty of dark_chocolate, then rather clove and blackberry jam plus prune and heavy demerara rum. i like, as they say on facebook. with water:","note and more on tobacco and coffee. there's also wonderful note of blackcurrant and blackberry jelly and a little more liquorice, lovage, soy sauce... brilliant nose! mouth: extre","vour at first sip. not that they clash but i get gherkin (yes), honey vinegar (yup), blackberry jelly, strong smoked fish, salted liquorice, tar, hawthorn and rosehip tea, then chi",,,
blackcurrant,,sherry_influence,user_proposed,125,Direct sherry-cask references and reviewed berry or dried-fruit sensory markers of sherry influence.,True,fruit;sherry_influence;exclude_primary,"r heavily roasted malt and, maybe a little too much struck match. yes, sulphur. also blackcurrant bud. wa this baby 'finished'? very unlikely but you never know… mouth: same feeling","r, with the same flavour everywhere. finish: pretty long, on the same note. a little blackcurrant jelly in the aftertaste. comment: it's not an easy one in my opinion, but some part","doesn't say so. maybe i'm mistaken and that wouldn't be the first time, but i smell blackcurrant jelly and red peach on top of the usual flinty/greasy modern springbank character. a",,,
blueberry,,sherry_influence,user_proposed,55,Direct sherry-cask references and reviewed berry or dried-fruit sensory markers of sherry influence.,True,fruit;sherry_influence;exclude_primary,"e kind of old jam and it's truly wonderful. a maelstrom of fig, prune, tamarind jam, blueberry pie, overripe plum, passion_fruit, rich honey, beeswax, old sweet wine (sauterne), s","st be me… mouth: ah, now i understand the name! start with very precise note of… say blueberry muffin? there are also violet sweet, and many of them, as well as quite some raspber","e queen of fruit+mustard? that's right, banff. granted, this is sweet mustard (maybe blueberry flavoured?) and the fruit are all sour, in a way, but that is superb in the very con",,,
cedar,sherry_rancio_oxidative,sherry_influence,v1,183,Direct sherry-cask references and reviewed berry or dried-fruit sensory markers of sherry influence.,True,sherry_influence;exclude_primary,"the expected note of prune and dark_chocolate, then touch of polished wood (sandal? cedar?) and a good deal of pepper, clove and caraway. finish: very long because it's so co","ry white to this baby (sauvignon). behind all that, some leather, cigarette tobacco, cedar wood and then quite some nutmeg. a lot of nutmeg! mouth: good, no over_oakiness, rat",". note of marzipan, anchovy, old_book, olive and the faintest ash and soot. a little cedar wood as well. this baby should change a lot once reduced… with water: indeed, there'",,,
chestnut,sherry_rancio_oxidative,sherry_influence,v1,461,Direct sherry-cask references and reviewed berry or dried-fruit sensory markers of sherry influence.,True,sherry_influence;exclude_primary,"me'. colour: amber. nose: gunpowder all over the place at first nosing, then roasted chestnut and coffee. go on with corinthian raisin and coffee as well as whiff of pencil_shavi","fle or brand new rubber boot and such -, gunpowder (same comment), flint and roasted chestnut, with then in the background, prune, chocolate, leather and that very typical meaty","amber. nose: sweet, rich sherry, not quite px but it's got this rich feeling. glazed chestnut, chestnut honey, demerara sugar (which make me think that i have many new rum to tas",,,
church,sherry_rancio_oxidative,sherry_influence,v1,43,Direct sherry-cask references and reviewed berry or dried-fruit sensory markers of sherry influence.,True,sherry_influence;exclude_primary,"lsamic vinegar and maybe sage and bay_leaves. loud chamomile as well, maybe a little church incense. mouth (neat): very rich, oily, with bag of pepper and raisin, then carameli","bacco note, cigar, also touch of menthol and camphor, always welcome, sandalwood and church incense (amen)… in short, a rather brilliant nose. the cask wa good, for sure. mouth","touch of eucalyptus, homemade custard, wee whiff of thuja wood, as well as a little church incense (no fancy scent)… mouth: it can happen that a lot of wood doe not become a p",,,
cigar,sherry_rancio_oxidative,sherry_influence,v1,735,Direct sherry-cask references and reviewed berry or dried-fruit sensory markers of sherry influence.,True,sherry_influence;exclude_primary,"ong time ago and this is the feeling i got - i hardly smoke thirty cigarette and two cigar a month since a few year, just for fun!) but why am i telling you this? why would yo","sh: long, very clean and fresh despite it 'pedigree'. great feeling of chewed havana cigar in the aftertaste. comment: same very high quality as the 1970 ssmc, even it this on","water: a walk in the forest in the middle of october. mo, mushroom, truffle, havana cigar, then more citrus_fruit. quite superb. mouth (neat): start on green tobacco and bitt",,,
cocoa,sherry_rancio_oxidative,sherry_influence,v1,277,Direct sherry-cask references and reviewed berry or dried-fruit sensory markers of sherry influence.,True,sherry_influence;exclude_primary,"armalade, bergamot, kumquat, raisin, citron… and a pleasant dryness behind all that (cocoa_powder) that prevents it from becoming cloying. well in the style of several great s","pleasure again. mouth: the oak's louder now, with some green tannin, strong tea and cocoa_powder. the good news is that the roundness behind the oak is big enough, with plent","r and beef stock. amazing richness despite an oakiness that's maybe a notch loudish (cocoa_powder). nuoc_mâm sauce. with water: a few green tannin (ginger, nutmeg) but other t",,,
coffee,sherry_rancio_oxidative,sherry_influence,v1,1004,Direct sherry-cask references and reviewed berry or dried-fruit sensory markers of sherry influence.,True,sherry_influence;exclude_primary,"amber. nose: gunpowder all over the place at first nosing, then roasted chestnut and coffee. go on with corinthian raisin and coffee as well as whiff of pencil_shavings and bac","colour: gold. nose: start on coffee and chicory, then more toffee, caramel and butterscotch. rounded and, well, pleasant","aw. nose: well, as often with these whisky at very high strength, you get quite some coffee at first nosing, and not too much peat. after all that, more fresh almond, brine, wh",,,
cranberry,,sherry_influence,user_proposed,165,Direct sherry-cask references and reviewed berry or dried-fruit sensory markers of sherry influence.,True,fruit;sherry_influence;exclude_primary,"egar. mouth (neat): sweet malt and orange drop all over the place, then a feeling of cranberry juice. i think this is good but again, it's very powerful (yet, the strength is mode","ugh the year. in truth, the fresh fruitiness is quite spectacular, with pomegranate, cranberry, litchi, ripe apple… all that is very sweet, almost sugary in a good way. sweet. exc","eping with the nose. passion_fruit, mango, mead, pineapple liqueur, pink grapefruit, cranberry and just a few spicy touch that add complexity to the whole. pouilly_fumé (dagueneau",,,
currant,,sherry_influence,user_proposed,88,Direct sherry-cask references and reviewed berry or dried-fruit sensory markers of sherry influence.,True,fruit;sherry_influence;exclude_primary,"much nicer! magnificent combination of honey, beeswax, mirabelle jam, quince, white currant, baklava, virginia tobacco, orange cake… and myriad of other tinier note. enough sai","ly punchy, starting on bag of pepper and wheelbarrow of red_fruit jam, including red currant (with that faint acidity). then many more spice, caraway seed, cumin, clove… a sligh","eberry as well but this is no easy tipple indeed. with water: more tart fruit, white currant, not_too_ripe greengage, the whole becoming even quite sauvignony (excuse me). finis",,,
dark_berry,,sherry_influence,user_proposed,1,Direct sherry-cask references and reviewed berry or dried-fruit sensory markers of sherry influence.,True,fruit;sherry_influence;exclude_primary,"peanut butter, wood spice, raisin and espresso. finish: decent length, drying, some dark_berry fruit and a nice, lingering earthiness. comment: i like it, but i feel it's a bit si",,,,,
dark_chocolate,sherry_rancio_oxidative,sherry_influence,v1,251,Direct sherry-cask references and reviewed berry or dried-fruit sensory markers of sherry influence.,True,sherry_influence;exclude_primary,"like liquorice infused in orange liqueur. go on with the expected note of prune and dark_chocolate, then touch of polished wood (sandal? cedar?) and a good deal of pepper, clove and c","raight, ultra_clean dry oloroso style, far from the style of the mortlach. plenty of dark_chocolate, then rather clove and blackberry jam plus prune and heavy demerara rum. i like, as","colour: pale amber. nose: it's another kind of sherriness here, more on leather, dark_chocolate and struck match. some rubber too, new boot, chlorophyll, cut grass… i think this ne",,,
date,fruit_aromatics,sherry_influence,v1,358,Direct sherry-cask references and reviewed berry or dried-fruit sensory markers of sherry influence.,True,fruit;sherry_influence;exclude_primary,"rry, a few bottle of the best sauterne and alsatian vendanges tardives, some perfect date (i mean the fruit, eh!) and then the softest curry powder. mix, shake well and you g","can souk? mouth: ultra_classic old strathisla from g&m's thoroughbred racing stable. date, orange, fig, honey and olive oil all over the place. i don't want to sound too 'mor","y_matured malt one can find on earth. in other word, an avalanche of fruitcake, fig, date, sultana, dried banana and even touch of demerara, then old balsamico. what's quite",,,
dried_apricot,,sherry_influence,user_proposed,72,Direct sherry-cask references and reviewed berry or dried-fruit sensory markers of sherry influence.,True,fruit;sherry_influence;exclude_primary,"with water: becomes more mineral and rooty. a mix of wet earth and mo, with touch of dried apricot. very nice nose. mouth (neat): peated vanilla_flavoured toffee with touch of ginger","nd, olive oil, high_end vanilla (not wood vanillin), nougat, marzipan, kumquat, fig, dried apricot… and all that is very elegant. vin jaune. with water: fab! a kind of very old, very","would have worked even better - right, 43.1% and 46.3% ;-)). custard, cinnamon pie, dried apricot, then white pepper. a little oak start to show after a few second, but it's not too",,,
dried_citrus,,sherry_influence,user_proposed,18,Direct sherry-cask references and reviewed berry or dried-fruit sensory markers of sherry influence.,True,fruit;sherry_influence;exclude_primary,", telling you about what's not in this whisky would be faster. all nut, all wax, all dried_citrus, all sap and oil, all tobacco, tea and leather, all spice, all mineral, all thing br","ed caramel and a glass of top quality dry cider. mouth: silky in texture and full of dried_citrus and exotic fruit, polished hardwood, nutmeg, wood spice, very subtle waxiness, dried","d hessian as well. finish: much longer than the 14. fruitier, all on nervous note of dried_citrus peel and crystalised tropical_fruit. banana chip, some ointment and polished hardwoo",,,
dried_fig,,sherry_influence,user_proposed,193,Direct sherry-cask references and reviewed berry or dried-fruit sensory markers of sherry influence.,True,fruit;sherry_influence;exclude_primary,"he moon here, with the very same kind of rich, fruity sherriness. i'm meaning bag of dried_fig, banana, kumquat, sultana, date, then prune, toffee… ultra_classic sherry monster of","h also touch of bacon. mouth (neat): ultra_rich, thick, concentrated sherry. walnut, dried_fig, prune, quince jelly and again that feeling of old armagnac, but there's also someth","c here - it's probably the same people who buy/drink both anyway. old polished wood, dried_fig, roasted chestnut, cough lozenge, date, then more herbal note, chartreuse, vetiver,",,,
dried_fruit,fruit_aromatics,sherry_influence,v1,316,Direct sherry-cask references and reviewed berry or dried-fruit sensory markers of sherry influence.,True,fruit;sherry_influence;exclude_primary,"ep amber. nose: oh my! it's one of these old_style 'genuine' sherry monster, full of dried_fruit, spice and wax. to the brim! it's also magnificently mineral and oily, with these wh","ney, sultana… and a nice saltine. finish: not very long but clean and (even) more on dried_fruit, sweet, the 'winey' wine influence having become much more discreet as such. a littl","d, even if it's no big malt of course. finish: medium long, clean and wide, on those dried_fruit and the most elegant spice mix ever. comment: sometimes it whisper, sometimes it tak",,,
